strategy,scoring_rate,total_score,total_model_score
0_CoT,0.9705661628215326,2514.0,2440.0033333333336
1_SC,0.9597825510474675,2514.0,2412.8933333333334
2_ToT,0.9673853089366217,2514.0,2432.0066666666667
3_GoT,0.9703460620525061,2514.0,2439.4500000000003
4_Auto-CoT,0.969880141051382,2516.0,2440.23
5_KGR,0.9652266797191689,2514.6666666666665,2427.226666666667
6_ART,0.9680031821797933,2514.0,2433.56
7_ReAct,0.9744577035269161,2514.0,2449.786666666667
8_APE,0.9691978255104746,2514.0,2436.5633333333335
9_RAG,0.9707862635905595,2514.0,2440.556666666667
